,File,Min,1Q,Median,Mean,3Q,Max,Type
ntfsinfo,5.8917994819,0,4.5046588621,4.7481327583,4.3358845199,4.9815863092,5.8438219874,0
whiptail,5.7421619537,0.3076300539,4,4.58169079,4.2593105349,5.086803006,5.6921508849,0
findmnt,5.8480224097,0,3.9643003607,4.5962316875,4.1781813535,5.2774083582,5.8566141775,0
ntfsls,5.3352935874,0,2.9561250904,4.5884613805,3.7636725428,5.0089634455,5.7148658602,0
fuser,5.7980511087,0,4.056459162,4.8770858036,4.3642634834,5.2637372624,5.6506874328,0
ntfsmftallo0,5.8242789016,0,4.3295371274,4.6283828219,4.326431515,4.9216631197,5.657560893,0
z0at,5.0129267696,3.0961068535,4.0686621116,4.6324464407,4.4759160489,4.8293939784,5.2386305291,0
fusermount,5.2839590827,0,3.0964194601,4.5856716855,3.8194911489,4.9253967269,5.7098692907,0
ntfsmo1e,5.3382946423,0,3.5637622799,4.4992911403,3.8238675744,4.8600096993,5.6520314952,0
z0mp,5.1659164789,4.6078741124,4.6532386923,4.7248481429,4.8235699107,4.9509862546,5.2529222386,0
getfa0l,5.1994210039,0,2.3779564116,4.4546488905,3.6370626653,5.1082788928,5.7486386027,0
ntfstrun0ate,5.3258058685,0,2.7538282772,4.5988873755,3.7691395074,4.9177837522,5.8154761747,0
zdiff,4.4659657298,2.3881476414,3.0117535027,3.3405610182,3.8307946509,4.9380082209,5.1562840774,0
grep,6.3164593156,1.2949297773,5.0713692475,5.3898079748,5.1852179448,5.5710953708,5.9781787125,0
ntfswipe,5.9018020774,1.3012706905,4.4585552035,4.6987872969,4.4840234426,4.9337062079,5.7713953509,0
zegrep,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,0
gunzip,4.9320216011,3.8948365324,4.2255824888,4.6807582318,4.6067392268,4.8144947453,5.2608489498,0
zfgrep,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,4.8491085482,0
gzexe,5.0811248727,1.2241047247,4.437009926,4.5952431334,4.5161030919,4.8353877405,5.1049420016,0
open1t,5.4754632892,0,3.4171673737,4.3970112522,3.9880505317,4.9468460696,5.5592263166,0
zfor0e,5.1376512131,1.7320464113,4.699125675,4.783538976,4.4870718268,4.9268635155,5.1346381275,0
gzip,6.3520714406,0,4.6152839947,5.3046127315,4.9517217967,5.5734980712,7.2340695311,0
pax,6.0380631928,1.2215730702,4.7387292639,5.0356967415,4.8654574994,5.275575604,6.0847535994,0
zgrep,5.0743688302,1.2256295666,4.2334420504,4.5426670024,4.4332303465,4.8792731908,5.1707629489,0
hostname,4.933229252,0,2.0954017968,3.9560810558,3.3489132572,4.7080750661,5.6387322315,0
zless,5.3820955818,4.648945844,4.7676452737,4.9399517079,4.9470170784,4.9985682044,5.2253712455,0
ip,6.1444520698,1.0909256423,4.7694585281,5.0896330394,4.8991284814,5.3042305768,7.1242418831,0
zmore,5.2451254937,2.6666083506,4.2741950782,4.8519900547,4.5729426376,4.9302771235,5.2420066115,0
kbd_mode,4.2129029876,0,0,3.2910518956,2.9294433337,4.8924854005,5.5697056748,0
znew,4.9204925122,3.3110503905,4.0503816583,4.4462534032,4.4526756634,4.7649302462,5.2341941115,0
kill,5.0503508093,0,2.1590554829,4.2268740434,3.4665702858,4.9844928959,5.5666560844,0
ping,5.9716746361,0,4.5179410259,4.8885933772,4.4789648023,5.3431021277,5.989480067,0
alina.exe,7.8491850786,0,6.9403451194,7.0211545412,6.7827366587,7.0772766972,7.196040869,1
Hupigon.ex_,6.4835165595,0.0737269123,5.0589508606,5.5224317233,5.2181229784,5.7440229568,7.1231071407,1
rusto0k_23.exe,4.1178157796,0,7.1467080937,7.1876855351,7.0147897247,7.2259678361,7.3493420897,1
troj_Drop_Gen.exe,7.9969057847,0,5.7005949008,7.1354558104,6.4366974138,7.195751674,7.3279722656,1
A1atar_Rootkit,7.8813791974,0,7.0873942381,7.150928076,6.6702362934,7.195751674,7.3269384276,1
Illusion.EXE,6.1663591372,0,4.4124289339,5.1505171005,4.5150093319,5.4924986797,6.0974250378,1
rusto0k_0.exe,7.9623117397,0,7.1004768321,7.1486230351,6.9968225001,7.1915046993,7.2838933104,1
troj_loadmon.exe,6.6917472611,0,6.8790430552,7.1296591563,6.4192096452,7.1793820311,7.3515625,1
